,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Solnechnyy,0,RU,1575569982,90,50.72,136.64,249.89,2.1
375,Kahului,40,US,1575569982,69,20.89,-156.47,298.15,3.6
376,Kolvereid,20,NO,1575569982,64,64.86,11.6,277.15,8.7
377,Caravelas,74,BR,1575569982,74,-17.73,-39.27,302.21,5.85
378,Libano,5,IT,1575569982,80,46.15,12.16,278.15,1.5
379,Akdagmadeni,81,TR,1575569982,97,39.66,35.88,265.95,2.62
380,Chifeng,0,CN,1575569883,34,42.27,118.96,257.83,2.75
381,Cabedelo,20,BR,1575569982,52,-6.97,-34.84,304.15,6.2
382,Pareora,0,NZ,1575569982,83,-44.49,171.21,281.93,2.43
383,Chaumont,90,FR,1575569982,100,48.11,5.14,272.59,1.5
384,Shuyskoye,100,RU,1575569982,90,59.37,41.03,275.17,6.27
385,Klaksvik,44,FO,1575569982,69,62.23,-6.59,277.15,3.1
386,Itaitinga,92,BR,1575569799,58,-3.97,-38.53,303.15,6.7
387,Barra Patuca,25,HN,1575569982,67,15.8,-84.28,299.69,5.23
388,Keetmanshoop,75,NA,1575569982,32,-26.57,18.15,301.15,6.2
389,Hervey Bay,10,AU,1575569982,94,-25.3,152.85,296.15,4.1
390,Pangody,100,RU,1575569982,95,65.85,74.49,259.9,2.92
391,Hamilton,75,CA,1575569436,72,43.26,-79.87,274.82,8.7
392,Colares,0,PT,1575569983,62,38.8,-9.45,289.15,3.1
393,Cidreira,28,BR,1575569983,73,-30.17,-50.22,294.58,9.04
394,Zhigansk,91,RU,1575569983,93,66.77,123.37,236.08,4.38
395,Comodoro Rivadavia,40,AR,1575569972,44,-45.87,-67.48,297.15,3.1
396,Vigeland,75,NO,1575569983,93,58.46,8.52,280.93,9.3
397,Kommunar,75,RU,1575569983,75,59.62,30.39,279.15,8.0
398,Jever,75,DE,1575569983,93,53.57,7.9,276.15,6.7
399,San Patricio,0,PY,1575569983,29,-26.98,-56.83,301.71,4.4
400,Ajdabiya,0,LY,1575569983,32,30.75,20.22,292.73,2.44
401,Ponta do Sol,91,BR,1575569983,89,-20.63,-46.0,295.54,3.35
402,Dawei,18,MM,1575569983,48,14.07,98.19,297.2,13.52
403,Biak,100,ID,1575569983,80,-0.91,122.88,300.73,2.73
404,Iwanai,100,JP,1575569983,88,42.97,140.51,268.12,5.42
405,Joao Neiva,75,BR,1575569983,83,-19.76,-40.39,301.15,6.7
406,Muros,20,ES,1575569983,93,42.77,-9.06,287.04,3.6
407,Sann,36,PK,1575569983,59,26.04,68.14,291.15,2.1
408,Libreville,40,GA,1575569983,78,0.39,9.45,301.15,2.6
409,Vao,100,EE,1575569983,83,59.1,26.19,278.15,6.73
410,Nyimba,53,ZM,1575569983,82,-14.56,30.81,294.51,2.66
411,Khorramshahr,0,IR,1575569983,77,30.43,48.18,288.15,2.1
412,Balili,76,PH,1575569983,98,17.05,120.93,288.46,0.48
413,Tokur,26,RU,1575569983,96,53.13,132.9,242.41,0.94
414,Stephenville,90,CA,1575569983,96,48.55,-58.59,273.71,3.23
415,Pacific Grove,20,US,1575569700,100,36.62,-121.92,288.15,5.4
416,Morant Bay,20,JM,1575569983,70,17.88,-76.41,305.15,5.1
417,Praia da Vitoria,20,PT,1575569726,68,38.73,-27.07,291.15,0.82
418,Champua,72,IN,1575569983,55,22.04,85.66,287.43,0.2
419,Kayerkan,40,RU,1575569984,72,69.35,87.76,262.15,9.0
420,Staritsa,100,RU,1575569984,87,56.51,34.93,275.02,6.04
421,Preobrazheniye,0,RU,1575569984,68,42.9,133.91,256.77,4.13
422,Sur,0,OM,1575569984,60,22.57,59.53,295.34,4.42
423,Maturin,32,VE,1575569984,72,9.75,-63.18,302.22,4.28
424,Selma,8,US,1575569984,27,32.41,-87.02,291.15,2.1
425,Cangucu,0,BR,1575569984,30,-31.39,-52.68,301.15,6.2
426,Pisco,48,PE,1575569984,30,-13.71,-76.2,295.15,5.7
427,Lata,0,IN,1575569984,14,30.78,78.62,267.43,2.81
428,Humboldt,3,CA,1575569984,92,52.21,-105.12,260.35,2.05
429,Yeppoon,90,AU,1575569984,78,-23.13,150.74,299.15,2.6
430,San Andres,94,PH,1575569984,95,13.32,122.68,296.88,1.44
431,Salalah,75,OM,1575569984,48,17.01,54.1,301.15,6.7
432,Coihaique,20,CL,1575569984,48,-45.58,-72.07,290.15,4.1
433,Ca Mau,93,VN,1575569794,82,9.18,105.15,294.2,2.46
434,Homer,75,US,1575569984,79,59.64,-151.54,269.15,2.1
435,Amapa,75,HN,1575569984,65,15.09,-87.97,301.48,3.6
436,Mount Isa,13,AU,1575569984,11,-20.73,139.49,297.15,4.18
437,Nome,1,US,1575569984,53,30.04,-94.42,297.15,3.1
438,Esperance,1,AU,1575569984,93,-33.86,121.89,285.15,3.1
439,Defiance,1,US,1575569884,56,41.28,-84.36,279.26,2.6
440,Burgeo,100,CA,1575569984,93,47.61,-57.61,274.72,2.93
441,Novhorodka,3,UA,1575569985,92,48.37,32.66,272.15,2.0
442,Heihe,0,RU,1575569985,49,50.24,127.51,254.15,3.0
443,Saint-Joseph,90,FR,1575569985,62,43.56,6.97,286.15,1.0
444,Morelia,5,MX,1575569985,49,19.7,-101.19,294.15,3.1
445,Coahuayana,0,MX,1575569985,48,18.62,-100.35,304.25,1.05
446,Merke,81,KZ,1575569985,47,42.87,73.19,277.95,0.55
447,Cabo San Lucas,5,MX,1575569985,78,22.89,-109.91,299.82,1.5
448,Aksu,90,KZ,1575569985,100,52.04,76.93,275.15,3.0
449,Linfen,0,CN,1575569985,42,36.09,111.52,274.25,1.47
450,Saint-Augustin,90,CA,1575569985,72,45.63,-73.98,273.71,8.2
451,Kilgore,1,US,1575569985,42,32.39,-94.88,294.15,4.1
452,Tomatlan,0,MX,1575569985,46,19.93,-105.25,301.83,1.78
453,Burnie,42,AU,1575569985,87,-41.05,145.91,282.04,4.02
454,Wajir,5,KE,1575569985,83,1.75,40.07,300.15,1.5
455,Cheney,90,US,1575569838,100,47.49,-117.58,278.15,2.29
456,Bisira,73,PA,1575569985,73,8.52,-81.71,297.06,4.74
457,Dannenberg,90,DE,1575569985,85,53.1,11.1,275.93,7.7
458,Bambanglipuro,93,ID,1575569985,87,-7.95,110.28,297.64,0.74
459,Sorong,84,ID,1575569986,96,-0.86,131.25,296.75,0.16
460,Iralaya,40,HN,1575569986,70,15.0,-83.23,304.15,5.1
461,Mount Darwin,73,ZW,1575569986,64,-16.77,31.58,294.97,5.29
462,Bindki,14,IN,1575569986,35,26.04,80.58,289.76,1.43
463,Sarandi,48,BR,1575569827,56,-27.94,-52.92,296.15,10.3
464,La Ronge,90,CA,1575569986,77,55.1,-105.3,259.15,2.1
465,Prieska,100,ZA,1575569986,53,-29.67,22.74,295.56,6.72
466,Timbuktu,2,ML,1575569986,14,16.77,-3.01,298.88,2.0
467,Lima,40,PE,1575569504,69,-12.06,-77.04,297.15,6.2
468,Sangar,95,RU,1575569986,99,63.92,127.47,231.0,1.58
469,Kayes,0,ML,1575569986,21,14.44,-11.44,305.15,4.1
470,Jaguaruna,93,BR,1575569986,62,-28.62,-49.03,297.62,3.26
471,Vysokogornyy,100,RU,1575569986,100,50.1,139.13,246.53,1.99
472,Lujiang,97,CN,1575569986,80,31.26,117.28,277.15,4.0
473,Rockland,90,CA,1575569986,63,45.55,-75.29,270.37,4.6
474,Dukat,100,AL,1575569986,73,40.25,19.57,288.29,4.31
475,Sao Domingos,45,BR,1575569986,55,-13.4,-46.32,303.85,2.1
476,Makakilo City,90,US,1575569986,83,21.35,-158.09,299.26,2.66
477,Verkhnyaya Inta,98,RU,1575569986,94,65.99,60.32,259.77,2.48
478,Coquimbo,75,CL,1575569986,72,-29.95,-71.34,297.59,5.1
479,Matara,84,BI,1575569986,93,-3.48,29.48,288.19,0.52
480,Cheremukhovo,100,RU,1575569986,93,56.23,46.23,274.56,6.3
481,Riyadh,0,SA,1575569986,48,24.63,46.72,291.15,2.1
482,Saldanha,0,PT,1575569987,78,41.42,-6.55,281.1,5.3
483,Santiago,59,PH,1575569987,97,16.69,121.54,294.56,0.22
484,Porto Novo,75,BR,1575569987,65,-23.68,-45.44,301.15,2.6
485,Marsh Harbour,100,BS,1575569987,52,26.54,-77.06,295.48,4.43
486,San Ramon,40,NI,1575569987,64,12.92,-85.84,296.15,6.2
487,Rajbiraj,6,NP,1575569987,57,26.54,86.75,291.44,1.6
488,Nanlong,60,CN,1575569987,68,31.35,106.05,282.34,0.32
489,Madaoua,35,NE,1575569987,11,14.07,5.96,299.01,3.66
490,Emerald,11,AU,1575569987,73,-23.53,148.16,297.15,2.1
491,Mangrol,98,IN,1575569987,43,25.33,76.51,288.87,2.59
492,Xanxere,75,BR,1575569987,73,-26.88,-52.4,297.15,5.1
493,Kamenka,0,MD,1575569987,79,48.03,28.7,270.93,1.92
494,Kalat,0,PK,1575569987,39,29.03,66.58,279.2,1.38
495,Teguise,75,ES,1575569987,68,29.06,-13.56,291.15,9.8
496,Irtyshskiy,83,RU,1575569987,97,58.33,68.13,260.31,2.45
497,Samarai,99,PG,1575569987,91,-10.62,150.67,296.6,1.31
498,Steamboat Springs,90,US,1575569912,100,40.48,-106.83,275.15,0.88
499,Grand Forks,90,US,1575569987,86,47.91,-97.06,272.15,11.3
500,Puerto Plata,40,DO,1575569987,79,19.79,-70.69,304.26,2.6
501,Mielec,0,PL,1575569987,79,50.29,21.42,274.26,5.1
502,Dagestanskiye Ogni,30,RU,1575569988,81,42.12,48.19,271.22,2.29
503,San Jeronimo,40,PE,1575569988,100,-13.65,-73.37,276.15,7.7
504,Oistins,40,BB,1575569842,58,13.07,-59.53,304.15,9.3
505,Kostrzyn,0,PL,1575569988,69,52.4,17.23,274.26,4.1
506,Lusaka,40,ZM,1575569988,89,-15.42,28.28,292.34,2.6
507,Luangwa,44,MZ,1575569988,54,-15.62,30.4,299.97,2.0
508,Churapcha,100,RU,1575569988,97,62.0,132.43,234.43,1.88
509,Zhangzhou,90,CN,1575569988,87,24.51,117.65,284.15,1.0
510,Terrace Bay,90,CA,1575569988,79,48.78,-87.1,266.15,2.6
511,Sumter,1,US,1575569988,23,33.92,-80.34,291.15,0.72
512,Babushkin,38,RU,1575569988,91,51.72,105.86,260.64,1.07
513,Aguimes,75,ES,1575569988,72,27.91,-15.45,292.04,4.1
514,Stokmarknes,75,NO,1575569988,70,68.56,14.91,277.15,2.6
515,Diphu,0,IN,1575569988,76,25.84,93.44,287.14,1.14
516,Broken Hill,0,AU,1575569988,54,-31.97,141.45,291.15,2.6
517,Huruesti,0,RO,1575569988,92,46.27,27.25,271.15,3.6
518,Bhadrachalam,66,IN,1575569988,84,17.67,80.89,292.76,1.72
519,Lovington,5,US,1575569988,37,32.94,-103.35,293.15,12.3
520,Guozhen,98,CN,1575569988,48,29.3,113.14,281.39,3.6
521,Verkhneyarkeyevo,2,RU,1575569988,94,55.45,54.3,263.54,4.18
522,Athens,75,GR,1575569728,66,37.98,23.73,285.37,5.13
523,Gamba,22,CN,1575569988,30,28.28,88.52,266.04,0.55
524,Khipro,83,PK,1575569988,23,25.83,69.38,294.14,4.72
525,Tabou,99,CI,1575569988,87,4.42,-7.36,298.77,3.03
526,Vestmannaeyjar,72,IS,1575569988,79,63.44,-20.27,271.15,5.1
527,Andalan,100,PH,1575569989,76,5.96,121.39,300.85,1.69
528,Black River,75,JM,1575569989,70,18.03,-77.85,302.15,4.6
529,Parlakimidi,45,IN,1575569989,75,18.77,84.08,288.94,0.93
530,Rome,40,IT,1575569707,66,41.89,12.48,286.15,2.1
531,Ambon,83,FR,1575569989,93,47.55,-2.56,279.15,1.5
532,Williams Lake,90,CA,1575569989,85,52.13,-122.14,265.15,1.5
533,Constitucion,20,MX,1575569989,20,23.99,-104.67,293.15,0.18
534,Atambua,87,ID,1575569989,84,-9.11,124.89,297.58,1.07
535,Santa Fe,0,AR,1575569989,24,-31.62,-60.7,300.89,2.48
536,Usta Muhammad,0,PK,1575569989,25,28.18,68.05,291.69,1.95
